isAdmin,firstName,lastName,pw,email,phoneNumber,origin,accountNumber,balance,status,createdAt,updatedAt
0,Austin,Robbins,b9C)gDDs!c,tiffanyking@example.com,001-590-245-4568x93195,Zambia,GB29INUZ88847469607532,3014.26,1,2021-07-16 12:51:40,2021-08-01 12:51:40
0,Angela,Lee,)#Lq9xWvbW,william51@example.net,(273)435-9115x9264,Jordan,GB33BONE22466050888905,1362.02,1,2022-08-22 05:01:40,2022-09-19 05:01:40
0,Caitlin,Mueller,w^4vNccP!),barbara32@example.com,(852)307-2946x9661,Luxembourg,GB75XNVX96190600915927,15512.23,0,2021-09-18 01:19:22,2021-10-09 01:19:22
0,Virginia,Bond,N%jap8Zn#%,msmith@example.net,953-998-4097,Lithuania,GB17TPLH58019292166149,34472.94,1,2021-08-30 06:17:16,2021-09-15 06:17:16
0,Sara,Ware,h56)QbvhM+,hilljulia@example.org,(768)363-1017x863,Dominica,GB68BSGH96641481107882,38795.95,1,2020-11-22 19:47:34,2020-12-18 19:47:34
1,Andrew,Singh,M_7DJoIUuZ,jesse01@example.net,625-855-9506x37701,French Southern Territories,GB50HFIX58686440737505,53512.0,1,2023-08-24 23:51:31,2023-09-10 23:51:31
0,Miguel,Watkins,DZe2R9%t_3,james89@example.org,(646)874-1280x798,Burundi,GB32ATLD41792692067549,62424.94,1,2023-03-16 05:05:07,2023-04-04 05:05:07
0,Dawn,Nicholson,iy(uCNHl@9,moniquemontgomery@example.net,+1-817-719-8100x5944,Honduras,GB06AOHX00647510757768,23012.28,1,2020-06-27 03:45:17,2020-07-02 03:45:17
0,Michelle,King,r41WDjzOB@,ahughes@example.com,244.878.4449x448,Marshall Islands,GB48HOYC14130059723729,26354.63,1,2023-02-18 15:15:14,2023-03-13 15:15:14
0,Justin,Leonard,i31JK$1w!8,ewingpatricia@example.net,957-299-4039x5208,Mauritania,GB95YPTR45529377898544,30077.09,1,2021-08-04 13:43:39,2021-08-11 13:43:39
0,Andrew,Brown,vy&2+lRk(Y,heather69@example.org,906.520.5947x0733,Gibraltar,GB11GWJI41063056110494,41178.5,1,2020-08-11 05:52:20,2020-09-05 05:52:20
0,Daniel,Smith,)#8RQI6v!u,daniel79@example.net,437.852.2842,Japan,GB13VIOP84646057444016,59007.65,0,2022-02-21 06:57:07,2022-02-25 06:57:07
0,Sarah,Sullivan,71XG*IAa#p,blake85@example.org,868.672.9716,Iceland,GB20HREG91801059258823,35377.5,1,2023-10-21 01:14:30,2023-11-01 01:14:30
0,David,Peck,H)NWhMUar1,robert00@example.org,835.202.1053x318,Korea,GB02OGYQ00353708838321,82946.31,1,2022-04-06 20:18:39,2022-04-13 20:18:39
0,Jennifer,Coleman,(q7oaGe8l*,yfletcher@example.com,708-666-4072,Philippines,GB92KVVV21391879294441,72229.42,1,2021-10-19 11:58:00,2021-11-06 11:58:00
0,Jeff,Mccall,$!DIrbhcJ0,zbailey@example.org,+1-306-412-1222x74465,Turkmenistan,GB74BSWB96862539628707,73928.14,1,2023-08-26 20:53:36,2023-09-11 20:53:36
0,Scott,Mcdonald,_1Y&t4LlRl,lramsey@example.org,001-464-515-0561x376,Slovenia,GB15IMWW78332490047813,37819.68,1,2020-01-23 22:49:35,2020-02-15 22:49:35
0,Caitlin,Lloyd,*+6QXiv&^Z,hillkimberly@example.net,(824)769-2690,Congo,GB63KCWL66336929667193,42553.24,1,2021-01-28 02:53:17,2021-02-11 02:53:17
0,Natasha,Mendoza,8BOM9j$c#O,jennifer87@example.net,323.800.9684,Nigeria,GB49VIVT74480996632063,14408.67,1,2022-12-19 08:59:38,2022-12-23 08:59:38
0,Renee,Martin,T+I7dUah%T,xstevenson@example.org,373.602.4291,Jamaica,GB16VRHZ71541168346124,88674.98,1,2021-04-20 10:04:29,2021-05-14 10:04:29
0,Cameron,Mcclure,6bM7UYYf_w,wardrachel@example.net,738.387.4772,Japan,GB43RXMW93730651963229,77452.75,1,2020-07-25 07:25:51,2020-08-21 07:25:51
0,Jacqueline,Lee,*2eOGgDAH_,qmoore@example.com,(661)665-6038,Tuvalu,GB07TUBE52585336520854,80290.23,1,2023-06-29 17:06:42,2023-07-29 17:06:42
0,Lauren,Bennett,5xVy9Wjg!0,rowecharles@example.org,+1-870-314-2064x7269,French Southern Territories,GB89IHPC34822417290944,70361.57,1,2020-02-15 01:40:06,2020-03-08 01:40:06
0,John,Harris,47lNWMvM$+,edwardsmichael@example.com,379.518.4488x187,Gibraltar,GB62PANG46103253673196,72541.88,1,2020-12-29 13:39:36,2021-01-18 13:39:36
0,Daniel,Morales,^Dvk3gel)2,glendastephens@example.net,001-499-383-5182x314,Oman,GB45PEPX35609787671216,63636.24,1,2022-08-28 00:17:21,2022-09-16 00:17:21
